,TOTAL_ORDERS,REVENUE,AVERAGE_ORDER_VALUE,CARRIAGE_REVENUE,AVERAGESHIPPING,FIRST_ORDER_DATE,LATEST_ORDER_DATE,AVGDAYSBETWEENORDERS,DAYSSINCELASTORDER
22,124,11986.54,96.67,529.59,4.27,30-Dec-16,24-Oct-21,14.19,1
29,82,11025.96,134.46,97.92,1.19,31-Mar-18,24-Oct-21,15.89,1
83,43,7259.69,168.83,171.69,3.99,30-Nov-17,24-Oct-21,33.12,1
95,44,6992.27,158.92,92.82,2.11,09-Apr-19,24-Oct-21,21.11,1
124,55,6263.44,113.88,179.04,3.26,23-Oct-20,24-Oct-21,6.65,1
153,49,5841.24,119.21,96.84,1.98,26-Jul-15,24-Oct-21,46.57,1
187,43,5470.27,127.22,128.77,2.99,14-Jan-19,24-Oct-21,23.58,1
219,54,5200.53,96.31,237.53,4.4,19-Nov-19,24-Oct-21,13.06,1
258,19,4967.06,261.42,51.91,2.73,03-Mar-21,24-Oct-21,12.37,1
308,21,4726.38,225.07,63.88,3.04,06-Jan-20,24-Oct-21,31.29,1
491,37,3934.05,106.33,162.5,4.39,30-Aug-14,24-Oct-21,70.59,1
492,20,3933.82,196.69,74.87,3.74,15-Sep-15,24-Oct-21,111.55,1
572,21,3778.07,179.91,91.07,4.34,25-Jan-21,24-Oct-21,12.95,1
595,34,3725.48,109.57,115.78,3.41,17-Feb-20,24-Oct-21,18.09,1
613,31,3660.12,118.07,114.77,3.7,01-Apr-18,24-Oct-21,42,1
669,28,3547.93,126.71,61.68,2.2,19-May-14,24-Oct-21,96.96,1
671,31,3547.7,114.44,150.7,4.86,02-Dec-20,24-Oct-21,10.52,1
740,11,3401.97,309.27,45.87,4.17,11-Feb-19,24-Oct-21,89.64,1
750,20,3391.09,169.55,61.89,3.09,25-Apr-21,24-Oct-21,9.1,1
785,15,3322.83,221.52,45.93,3.06,25-Apr-20,24-Oct-21,36.47,1
795,29,3305.8,113.99,103.8,3.58,12-Nov-20,24-Oct-21,11.93,1
806,13,3287.77,252.91,42.92,3.3,22-Mar-16,24-Oct-21,157.08,1
854,13,3224.55,248.04,24.95,1.92,12-Apr-17,24-Oct-21,127.38,1
864,19,3211.35,169.02,84.85,4.47,11-Feb-18,24-Oct-21,71.11,1
902,14,3149.69,224.98,30.94,2.21,17-Jun-20,24-Oct-21,35.29,1
928,18,3113.08,172.95,50.48,2.8,12-Apr-20,24-Oct-21,31.11,1
947,18,3088.26,171.57,33.66,1.87,30-Mar-20,24-Oct-21,31.83,1
972,24,3060.53,127.52,125.78,5.24,01-Jun-16,24-Oct-21,82.13,1
1000,22,3027.11,137.6,69.86,3.18,01-Nov-19,24-Oct-21,32.86,1
1075,24,2944.71,122.7,96.81,4.03,24-Dec-16,24-Oct-21,73.54,1
1146,28,2865.89,102.35,110.79,3.96,10-Aug-17,24-Oct-21,54.86,1
1399,31,2659.31,85.78,102.81,3.32,13-Nov-19,24-Oct-21,22.94,1
1468,13,2612.35,200.95,51.35,3.95,11-Nov-17,24-Oct-21,111,1
1472,19,2609,137.32,78.85,4.15,05-Aug-20,24-Oct-21,23.42,1
1481,11,2604.78,236.8,20.33,1.85,18-May-19,24-Oct-21,80.91,1
1573,23,2555.27,111.1,102.82,4.47,31-Jul-18,24-Oct-21,51.35,1
1589,18,2544.48,141.36,53.98,3,27-Oct-20,24-Oct-21,20.11,1
1610,22,2534.23,115.19,89.83,4.08,25-Dec-20,24-Oct-21,13.77,1
1621,21,2530.55,120.5,54.85,2.61,05-Apr-21,24-Oct-21,9.62,1
1717,27,2475.84,91.7,61.89,2.29,28-Jun-16,24-Oct-21,72,1
1721,29,2469.36,85.15,98.81,3.41,28-Dec-17,24-Oct-21,48.14,1
1787,26,2432.01,93.54,66.86,2.57,12-Oct-16,24-Oct-21,70.69,1
1819,20,2416.13,120.81,36.93,1.85,05-Jun-21,24-Oct-21,7.05,1
1851,13,2402.91,184.84,52.91,4.07,08-Jan-21,24-Oct-21,22.23,1
1873,18,2390.84,132.82,88.84,4.94,03-Apr-19,24-Oct-21,51.94,1
1885,24,2386.87,99.45,72.87,3.04,08-Sep-20,24-Oct-21,17.13,1
2016,9,2327.53,258.61,9.98,1.11,18-May-21,24-Oct-21,17.67,1
2096,20,2277.34,113.87,81.84,4.09,07-Sep-19,24-Oct-21,38.9,1
2109,40,2274.19,56.85,153.54,3.84,27-May-20,24-Oct-21,12.88,1
2194,25,2234.03,89.36,89.84,3.59,10-May-20,24-Oct-21,21.28,1
2429,22,2144.1,97.46,50.9,2.31,24-Dec-17,24-Oct-21,63.64,1
2483,13,2125.67,163.51,44.92,3.46,23-Nov-19,24-Oct-21,53.92,1
2493,25,2120.69,84.83,75.84,3.03,01-May-18,24-Oct-21,50.88,1
2777,8,2024.43,253.05,43.93,5.49,18-Dec-18,24-Oct-21,130.13,1
2858,10,2004.09,200.41,29.94,2.99,24-Sep-20,24-Oct-21,39.5,1
2872,15,1999.14,133.28,16.97,1.13,05-May-17,24-Oct-21,108.87,1
2890,28,1993.5,71.2,79.85,2.85,21-Sep-20,24-Oct-21,14.21,1
3004,17,1957.14,115.13,91.84,5.4,09-Jul-20,24-Oct-21,27.76,1
3102,17,1931.17,113.6,44.92,2.64,21-Aug-20,24-Oct-21,25.24,1
3122,9,1924.96,213.88,22.96,2.55,10-Apr-21,24-Oct-21,21.89,1
3124,15,1924.86,128.32,77.86,5.19,21-Jun-18,24-Oct-21,81.4,1
3128,18,1924.45,106.91,49.9,2.77,21-Jan-21,24-Oct-21,15.33,1
3202,9,1905.12,211.68,14.97,1.66,01-Dec-20,24-Oct-21,36.33,1
3261,18,1890.12,105.01,41.92,2.33,09-Oct-20,24-Oct-21,21.11,1
3280,13,1886.04,145.08,30.94,2.38,24-Dec-18,24-Oct-21,79.62,1
3313,12,1879.72,156.64,49.92,4.16,04-Oct-17,24-Oct-21,123.42,1
3335,19,1876.65,98.77,86.85,4.57,17-Jan-21,24-Oct-21,14.74,1
3365,21,1868.29,88.97,62.89,2.99,01-Jul-19,24-Oct-21,40.29,1
3414,10,1858.95,185.9,30.95,3.1,19-Jan-21,24-Oct-21,27.8,1
3421,17,1857.86,109.29,72.86,4.29,01-Jan-18,24-Oct-21,81.88,1
3608,13,1813.31,139.49,45.91,3.53,21-May-20,24-Oct-21,40.08,1
3687,15,1796.57,119.77,68.87,4.59,19-Mar-19,24-Oct-21,63.33,1
3712,8,1790.97,223.87,18.97,2.37,28-Sep-17,24-Oct-21,185.88,1
3867,10,1757.96,175.8,22.96,2.3,16-Dec-14,24-Oct-21,250.4,1
3880,25,1756.37,70.25,89.72,3.59,10-Jul-20,24-Oct-21,18.84,1
3914,13,1748.81,134.52,59.81,4.6,17-Oct-18,24-Oct-21,84.85,1
3938,11,1744.81,158.62,19.96,1.81,17-Aug-20,24-Oct-21,39.36,1
3965,21,1739.11,82.81,71.86,3.42,15-Dec-20,24-Oct-21,14.9,1
4029,18,1726.06,95.89,79.86,4.44,02-Sep-20,24-Oct-21,23.17,1
4070,10,1718.92,171.89,47.92,4.79,29-Jun-19,24-Oct-21,84.8,1
4074,18,1718.6,95.48,55.4,3.08,13-Sep-20,24-Oct-21,22.56,1
4181,16,1699.95,106.25,24.95,1.56,19-Feb-21,24-Oct-21,15.44,1
4199,10,1697.25,169.73,32.95,3.3,18-Oct-20,24-Oct-21,37.1,1
4230,9,1692.57,188.06,14.97,1.66,11-Jan-21,24-Oct-21,31.78,1
4283,8,1682.96,210.37,24.96,3.12,15-Apr-18,24-Oct-21,161,1
4299,12,1681.8,140.15,42.2,3.52,20-Nov-18,24-Oct-21,89.08,1
4373,6,1672.6,278.77,27.95,4.66,15-Mar-18,24-Oct-21,219.83,1
4565,20,1641.58,82.08,59.88,2.99,30-Jan-21,24-Oct-21,13.35,1
4572,14,1640.34,117.17,58.89,4.21,03-Jul-17,24-Oct-21,112.43,1
4614,14,1633.95,116.71,26.95,1.93,30-Sep-20,24-Oct-21,27.79,1
4615,21,1633.65,77.79,52.9,2.52,17-Dec-19,24-Oct-21,32.24,1
4662,11,1626.43,147.86,37.93,3.45,26-Aug-19,24-Oct-21,71.82,1
4668,9,1625.12,180.57,16.97,1.89,31-Dec-18,24-Oct-21,114.22,1
4678,14,1623.52,115.97,45.92,3.28,16-Aug-16,24-Oct-21,135.36,1
4683,17,1622.99,95.47,56.89,3.35,27-May-20,24-Oct-21,30.29,1
4731,16,1614.57,100.91,42.07,2.63,29-Nov-20,24-Oct-21,20.56,1
4745,17,1613.09,94.89,31.94,1.88,21-May-20,24-Oct-21,30.65,1
4846,4,1596.22,399.06,16.97,4.24,19-Aug-19,24-Oct-21,199.25,1
4863,8,1594.25,199.28,28.95,3.62,25-Nov-19,24-Oct-21,87.38,1
4910,12,1586.89,132.24,55.89,4.66,23-Jun-20,24-Oct-21,40.67,1
4950,5,1581.2,316.24,0,0,22-Sep-21,24-Oct-21,6.4,1
4986,11,1576.93,143.36,31.93,2.9,11-Oct-16,24-Oct-21,167.18,1
5020,9,1572.48,174.72,36.93,4.1,16-Oct-20,24-Oct-21,41.44,1
5052,22,1567.96,71.27,30.96,1.41,02-Aug-18,24-Oct-21,53.59,1
5065,16,1565.06,97.82,26.96,1.69,17-Aug-19,24-Oct-21,49.94,1
5079,8,1562.71,195.34,20.96,2.62,28-Feb-20,24-Oct-21,75.5,1
5201,5,1545.98,309.2,9.98,2,26-Nov-19,24-Oct-21,139.6,1
5262,25,1536.78,61.47,74.78,2.99,19-Aug-19,24-Oct-21,31.88,1
5268,18,1535.92,85.33,41.92,2.33,18-Sep-20,24-Oct-21,22.28,1
5434,9,1512.28,168.03,9.98,1.11,24-Nov-18,24-Oct-21,118.33,1
5447,15,1510.61,100.71,50.9,3.39,25-Dec-18,24-Oct-21,68.93,1
5456,7,1509.56,215.65,17.96,2.57,01-Dec-17,24-Oct-21,203.29,1
5481,15,1507,100.47,50.9,3.39,13-Nov-20,24-Oct-21,23,1
5604,8,1493.69,186.71,29.94,3.74,30-Aug-20,24-Oct-21,52.5,1
5640,12,1488.12,124.01,39.92,3.33,01-Nov-20,24-Oct-21,29.75,1
5647,12,1487.25,123.94,67.25,5.6,20-May-20,24-Oct-21,43.5,1
5652,12,1486.75,123.9,28.95,2.41,10-Nov-18,24-Oct-21,89.92,1
